run,result
saved_models/sac_soccer_actions_env_1_9,0.007654561476251165,1.3517166801838334
saved_models/td3_soccer_actions_env_1_0,0.008501479113542891,1.2677484787018256
saved_models/td3_soccer_actions_env_1_1,0.009576697890698297,1.290822253775655
saved_models/td3_soccer_actions_env_1_2,0.00856123877145976,1.018122581958868
saved_models/td3_soccer_actions_env_1_3,0.013024008478280988,1.0009008107296566
saved_models/td3_soccer_actions_env_1_4,0.01635902617187219,1.0
saved_models/td3_soccer_actions_env_1_5,0.0080151492868936,1.245019920318725
saved_models/td3_soccer_actions_env_1_6,0.015781692306078735,1.0
saved_models/td3_soccer_actions_env_1_7,0.01181531370543117,1.2754177828804694
saved_models/td3_soccer_actions_env_1_8,0.0157805918587552,1.0
saved_models/td3_soccer_actions_env_1_9,0.0074018641985770465,1.22611894543225
saved_models/td3_soccer_actions_env_2_0,0.016002486580752304,1.0094891984655765
saved_models/td3_soccer_actions_env_2_1,0.015069128737116714,1.0
saved_models/td3_soccer_actions_env_2_2,0.009850428394679351,1.2061271257990591
saved_models/td3_soccer_actions_env_2_3,0.012014129308346059,1.340662287169862
saved_models/td3_soccer_actions_env_2_4,0.014850692193831469,1.0
saved_models/td3_soccer_actions_env_2_5,0.009999040702352592,1.3218770654329148
saved_models/td3_soccer_actions_env_2_6,0.007686739470524749,1.312852829197847
saved_models/td3_soccer_actions_env_2_7,0.01673361460068021,1.0
saved_models/td3_soccer_actions_env_2_8,0.01562163978066968,1.0
saved_models/td3_soccer_actions_env_2_9,0.008517983615044859,1.287995878413189
saved_models/ddpg_soccer_actions_env_2_BIG,0.03177363483048354,3.1622904144258146
saved_models/ddpg_soccer_actions_env_2_BIG1,0.0,46.245370370370374
